CEEB,College Name,City,State
INTL,UNIVERSITY COLLEGE LONDON,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY FOR CREATIVE ARTS,FARNHAM SURREY,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF ABERDEEN,ABERDEEN,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF BATH,BATH,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF BIRMINGHAM,BIRMINGHAM,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF BRISTOL,BRISTOL,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF CAMBRIDGE,CAMBRIDGE,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF CHESTER,CHESTER,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF CHICHESTER,CHICHESTER,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF EAST ANGLIA,NORWICH,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF EAST LONDON,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF EXETER,EXETER,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF GREENWICH,LONDON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF LEEDS,LEEDS,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF MANCHESTER,MANCHESTER,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF NORTHAMPTON,NORTHAMPTON,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF NOTTINGHAM,NOTTINGHAM,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF OXFORD,OXFORD,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF PLYMOUTH,PLYMOUTH,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF PORTSMOUTH,PORTSMOUTH,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF SHEFFIELD,SHEFFIELD,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF STIRLING,STIRLING SCOTLAND,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
INTL,UNIVERSITY OF SUNDERLAND,SUNDERLAND,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
